"","Agency.Name","Fiscal.Year","Title.Description","job_count","female","male","base_diff","percent_diff"
"1","ADMIN FOR CHILDREN'S SVCS",2014,"*ATTORNEY AT LAW",16,79417.1428571429,79624.8571428571,207.71428571429,0.00260866132973556
"2","ADMIN FOR CHILDREN'S SVCS",2014,"ACCOUNTANT",13,52226.8,58134.6,5907.8,0.101622785742054
"3","ADMIN FOR CHILDREN'S SVCS",2014,"ADMINISTRATIVE DIRECTOR OF RESIDENTIAL CHILD CARE",13,77676.8571428571,79886.6666666667,2209.80952380953,0.027661806606979
"4","ADMIN FOR CHILDREN'S SVCS",2014,"ADMINISTRATIVE DIRECTOR OF SOCIAL SERVICES",233,86785.0733333333,90239.14,3454.06666666667,0.0382768127739988
"5","ADMIN FOR CHILDREN'S SVCS",2014,"ADMINISTRATIVE JUVENILE COUNSELOR",16,67624.7142857143,67466.5714285714,-158.142857142855,-0.00234401798986161
"6","ADMIN FOR CHILDREN'S SVCS",2014,"ADMINISTRATIVE STAFF ANALYST",258,82193.3211678832,85645.0909090909,3451.76974120771,0.0403031826409249
"7","ADMIN FOR CHILDREN'S SVCS",2014,"AGENCY ATTORNEY",256,69465.6564417178,70686,1220.34355828218,0.0172642893682226
"8","ADMIN FOR CHILDREN'S SVCS",2014,"AGENCY ATTORNEY INTERNE",37,52482,53606.5714285714,1124.57142857143,0.0209782382756911
"9","ADMIN FOR CHILDREN'S SVCS",2014,"ASSOCIATE JUVENILE COUNSELOR",47,50426.5,52895.6666666667,2469.16666666666,0.0466799422763049
"10","ADMIN FOR CHILDREN'S SVCS",2014,"ASSOCIATE STAFF ANALYST",93,71392.2,70739.3902439024,-652.809756097558,-0.0092283769176796
"11","ADMIN FOR CHILDREN'S SVCS",2014,"CASEWORKER",65,40057.9230769231,40262.7368421053,204.813765182182,0.0050869310247185
"12","ADMIN FOR CHILDREN'S SVCS",2014,"CHILD AND FAMILY SPECIALIST",220,74687.4076433121,74676.7142857143,-10.6933575978182,-0.000143195341413995
"13","ADMIN FOR CHILDREN'S SVCS",2014,"CHILD PROTECTIVE SPECIALIST",2021,49326.2107168718,49450.154676259,123.943959387158,0.00250644229929301
"14","ADMIN FOR CHILDREN'S SVCS",2014,"CHILD PROTECTIVE SPECIALIST SUPERVISOR",541,70171.5853658537,69498.8787878788,-672.706577974866,-0.00967938749095607
"15","ADMIN FOR CHILDREN'S SVCS",2014,"CHILD WELFARE SPECIALIST",241,51334.0145985401,50497.4705882353,-836.54401030486,-0.0165660576769514
"16","ADMIN FOR CHILDREN'S SVCS",2014,"CHILD WELFARE SPECIALIST SUPERVISOR",126,67083.1052631579,62025.8235294118,-5057.28173374613,-0.0815351001562767
"17","ADMIN FOR CHILDREN'S SVCS",2014,"CLERICAL ASSOCIATE MOST MAYORAL AG",225,35617.1607142857,34758.2258064516,-858.934907834104,-0.0247117017024118
"18","ADMIN FOR CHILDREN'S SVCS",2014,"COMMUNITY ASSISTANT",67,31864.2727272727,31656.7333333333,-207.539393939394,-0.0065559320904682
"19","ADMIN FOR CHILDREN'S SVCS",2014,"COMMUNITY ASSOCIATE",51,43043.0714285714,41100.9375,-1942.13392857143,-0.0472527890287521
"20","ADMIN FOR CHILDREN'S SVCS",2014,"COMMUNITY COORDINATOR",205,55942.5813953488,56003.5,60.9186046511604,0.00108776424064854
"21","ADMIN FOR CHILDREN'S SVCS",2014,"COMPUTER AIDE-NON-SPVR",38,43945.75,43662.0416666667,-283.708333333336,-0.00649782562847788
"22","ADMIN FOR CHILDREN'S SVCS",2014,"COMPUTER ASSOCIATE",29,60575.8181818182,64744.6666666667,4168.84848484848,0.0643890639874864
"23","ADMIN FOR CHILDREN'S SVCS",2014,"COMPUTER SPECIALIST",21,91771.4285714286,86434.25,-5337.17857142857,-0.0617484223144016
"24","ADMIN FOR CHILDREN'S SVCS",2014,"COMPUTER SYSTEMS MANAGER",26,83477.2,96802.8,13325.6,0.137657175205676
"25","ADMIN FOR CHILDREN'S SVCS",2014,"CONGREG CARE SPEC - ACS",15,50658.2,48876.4285714286,-1781.77142857142,-0.0364546158680052
"26","ADMIN FOR CHILDREN'S SVCS",2014,"CONGREG CARE SPEC- DJJ",39,43558.9473684211,45492.7857142857,1933.83834586466,0.0425086816624069
"27","ADMIN FOR CHILDREN'S SVCS",2014,"CONSULTANT",17,65828.2,60281,-5547.2,-0.0920223619382558
"28","ADMIN FOR CHILDREN'S SVCS",2014,"DIRECTOR OF FIELD OPERATIONS",183,91717.8793103448,92433.0571428571,715.177832512316,0.00773725174324803
